domain,timestamp,active_score,https_valid,certificate_valid,certificate_expiry_days,tls_version,hsts_enabled,redirects_count,server_header_leak,software_version_exposed,security_headers_count,open_ports_count,expired_cert,weak_tls,missing_hsts,info_disclosure,suspicious_redirect,insecure_ports
aaplimg.com,2026-02-28T20:22:58.796446Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
adobe.com,2026-02-28T20:23:04.200039Z,50.0,False,True,310,TLSv1.3,False,0,False,None,0,2,False,False,True,False,False,False
akadns.net,2026-02-28T20:23:04.279602Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
akamaiedge.net,2026-02-28T20:23:05.108944Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
akamai.net,2026-02-28T20:23:04.902124Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
akam.net,2026-02-28T20:23:04.646799Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
amazonaws.com,2026-02-28T20:23:31.559275Z,80.0,True,False,0,Unknown,True,2,False,Server,3,1,False,False,False,False,False,True
amazon.com,2026-02-28T20:23:12.427561Z,50.0,False,True,329,TLSv1.3,False,0,False,None,0,2,False,False,True,False,False,False
apple-dns.net,2026-02-28T20:23:31.670624Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
apple.com,2026-02-28T20:23:32.576955Z,100.0,True,True,87,TLSv1.3,True,1,False,Apple,5,2,False,False,False,False,False,False
appsflyersdk.com,2026-02-28T20:23:33.133485Z,80.0,True,True,221,TLSv1.3,False,0,False,CloudFront,0,2,False,False,True,False,False,False
azure.com,2026-02-28T20:23:40.774596Z,50.0,False,True,162,TLSv1.3,False,0,False,None,0,2,False,False,True,False,False,False
baidu.com,2026-02-28T20:23:43.360881Z,30.0,False,False,0,Unknown,False,0,False,None,0,2,False,False,True,False,False,False
bing.com,2026-02-28T20:24:00.825142Z,100.0,True,True,153,TLSv1.3,True,1,False,None,3,2,False,False,False,False,False,False
bit.ly,2026-02-28T20:24:02.805735Z,80.0,True,False,0,Unknown,True,1,False,nginx,2,2,False,False,False,False,False,False
cloudflare-dns.com,2026-02-28T20:24:04.525107Z,70.0,True,False,0,Unknown,False,1,False,cloudflare,4,2,False,False,True,False,False,False
cloudflare.com,2026-02-28T20:24:05.982771Z,100.0,True,True,43,TLSv1.3,True,1,False,cloudflare,4,2,False,False,False,False,False,False
cloudflare.net,2026-02-28T20:24:06.419183Z,90.0,True,True,62,TLSv1.3,False,0,False,cloudflare,3,2,False,False,True,False,False,False
