domain,packet_count,avg_packet_size,dns_count,context,passive_score
aaplimg.com,300,371.88,31,general,76.68
adobe.com,699,887.3,32,general,65.45
akadns.net,346,529.11,30,general,77.39
akam.net,213,519.91,28,general,77.33
akamai.net,347,295.91,46,general,79.55
akamaiedge.net,206,412.48,36,dns_heavy,76.87
amazon.com,6072,1100.07,131,general,77.16
amazonaws.com,3140,1188.56,38,general,69.91
apple-dns.net,205,424.04,34,dns_heavy,76.92
apple.com,2239,1166.79,24,general,79.03
appsflyersdk.com,257,355.73,32,general,76.61
azure.com,3653,1110.74,44,general,76.71
baidu.com,1801,782.84,69,general,78.08
bing.com,1002,873.84,40,general,77.54
bit.ly,2952,960.55,40,general,77.31
cloudflare-dns.com,1201,931.77,34,general,77.28
cloudflare.com,2804,1013.85,50,general,84.4
cloudflare.net,636,841.88,35,general,77.64
cloudfront.net,135,223.49,34,dns_heavy,76.01
digicert.com,3396,1224.51,46,general,76.18
domaincontrol.com,475,617.62,22,general,77.77
doubleclick.net,2156,877.21,90,general,77.74
dzen.ru,3474,988.23,88,general,80.92
e2ro.com,184,414.28,28,dns_heavy,76.86
edgekey.net,1079,545.38,92,general,77.67
edgesuite.net,547,423.1,42,general,76.96
facebook.com,969,689.3,65,general,78.75
fastly.net,3096,840.25,147,general,78.12
fbcdn.net,2571,1040.21,54,general,79.06
gandi.net,813,665.82,54,general,78.09
github.com,4725,1170.36,38,general,76.51
goo.gl,274,380.46,34,general,76.73
google-analytics.com,4578,1122.15,90,general,76.84
google.com,1549,872.13,50,general,76.56
googleapis.com,3200,1195.54,36,general,79.04
googledomains.com,267,357.93,16,general,76.58
googlesyndication.com,1066,885.44,26,general,77.46
googletagmanager.com,774,632.0,46,general,77.92
googleusercontent.com,233,416.55,20,general,76.85
googlevideo.com,363,375.26,40,general,77.96
gstatic.com,693,469.15,42,general,78.83
gtld-servers.net,204,329.04,18,general,78.06
gvt1.com,633,446.71,58,general,77.11
gvt2.com,183,405.25,32,dns_heavy,76.83
icloud.com,4116,1253.24,63,general,76.15
instagram.com,3675,1121.95,44,general,78.94
linkedin.com,2227,799.37,124,general,81.3
live.com,7805,1226.87,88,general,78.01
mail.ru,1140,815.19,57,general,80.53
microsoft.com,2627,864.83,148,general,79.98
microsoftonline.com,122,294.33,28,dns_heavy,76.32
msn.com,3580,1113.66,74,general,76.76
netflix.com,3668,1052.8,96,general,77.09
nginx.com,3924,816.18,252,general,78.55
nginx.org,7062,1056.18,34,general,77.2
nic.ru,3113,1041.59,58,general,77.01
ntp.org,1373,702.73,110,general,78.44
office.com,2592,873.98,139,general,80.49
office.net,357,513.97,44,general,77.35
office365.com,2140,1053.45,52,general,76.86
okcdn.ru,638,732.75,26,general,78.11
opera.com,79,191.72,4,general,75.79
pinterest.com,1952,1004.31,54,general,77.07
pv-cdn.net,149,246.54,28,dns_heavy,76.1
qq.com,341,384.54,38,general,76.76
ripn.net,336,471.06,28,general,77.12
roblox.com,3792,1130.78,75,general,76.7
root-servers.net,93,241.41,4,general,76.02
samsung.com,277,534.13,26,general,77.39
sentry.io,2228,907.81,40,general,77.49
sharepoint.com,4857,1051.56,122,general,77.26
skype.com,2510,1053.91,68,general,76.93
spotify.com,4144,959.54,128,general,77.63
tiktok.com,161,631.78,10,general,77.78
tiktokcdn.com,174,357.03,32,dns_heavy,76.61
tiktokv.com,356,341.67,13,general,76.51
trafficmanager.net,188,409.96,36,dns_heavy,76.86
twitter.com,1815,983.08,66,general,79.82
ui.com,7469,1233.73,91,general,76.58
unity3d.com,3537,1107.94,25,general,76.66
vedcdnlb.com,2377,773.05,69,general,78.17
vimeo.com,10825,1232.28,78,general,76.83
wa.me,1781,855.08,36,general,77.68
whatsapp.com,1005,907.41,22,general,77.35
whatsapp.net,1043,887.9,38,general,77.48
wikipedia.org,868,675.96,54,general,78.14
windows.com,6902,1118.13,186,general,77.28
windows.net,273,402.21,28,general,76.81
windowsupdate.com,275,351.05,15,general,76.55
wordpress.com,2931,993.03,118,general,77.36
wordpress.org,4756,1095.2,74,general,76.94
workers.dev,1772,1040.63,48,general,76.88
x.com,3746,1220.0,56,general,76.26
yahoo.com,4620,1209.12,67,general,76.4
yandex.net,1100,629.56,58,general,77.97
yandex.ru,1085,741.4,71,general,78.22
youtu.be,3553,1074.87,73,general,76.93
youtube.com,4394,1006.34,88,general,79.6
ytimg.com,172,414.03,14,general,76.82
zoom.us,14175,1185.64,160,general,77.4
000domains.com,10712,1024.5,61,general,88.84,88.84
0657.win,3719,837.3,45,general,90.0,90.0
1001oyun.io,1742,757.09,81,general,91.43,91.43
111555.pro,15896,1255.8,69,general,83.95,83.95
111y999.com,1153,915.53,42,general,87.18,87.18
12voip.com,17432,1199.01,105,general,85.04,85.04
1gvideo-terabox-videos.lat,14705,1259.69,36,general,83.94,83.94
1rokok.vip,9180,1089.79,136,general,87.67,87.67
1winbengal.com,27785,1223.89,78,general,79.97,79.97
1xbet-cx1i.top,13787,1245.36,68,general,85.03,85.03
21-shop.ru,10892,1060.96,141,general,89.07,89.07
2600hz.com,3969,975.59,153,general,88.32,88.32
2baconil.com,6043,965.95,222,general,90.22,90.22
300hu.com,626,576.29,66,general,88.86,88.86
3025.casino,6268,1203.82,30,general,82.66,82.66
3b-productions.com,4187,888.5,144,general,90.25,90.25
3simbio.ru,14316,1251.25,51,general,84.47,84.47
41jl49.cc,2202,809.09,102,general,90.71,90.71
44brjogos.com,3287,863.66,75,general,89.6,89.6
5161f3.cc,3754,908.39,84,general,88.9,88.9
587.cc,796,542.6,56,general,88.05,88.05
594983949.com,80,252.66,6,general,80.67,80.67
5cloudhost.com,16480,1176.69,147,general,86.43,86.43
686kulisbet.com,341,292.89,111,dns_heavy,82.96,82.96
7cnq.net,14857,1245.19,51,general,84.39,84.39
88864151.com,59,121.08,0,general,77.65,77.65
8btghdfgjhdf.com,199,265.81,47,dns_heavy,81.51,81.51
8jl777.com,6670,867.51,51,general,90.59,90.59
8richd.fun,14447,1172.38,98,general,86.75,86.75
8ssi.com,1203,660.51,60,general,90.9,90.9
999e666.com,339,449.61,54,dns_heavy,85.76,85.76
99club-casino-slot.com,25926,1262.13,75,general,79.83,79.83
aaa3.bet,6710,1098.45,87,general,85.89,85.89
aamu.edu,52,404.15,0,general,83.97,83.97
aaplimg.com,300,371.88,31,general,83.73,78.09
abc999.run,7272,1139.18,91,general,85.25,85.25
absvip.casino,37220,1221.23,87,high_traffic,76.32,76.32
activeherb.com,4169,813.66,159,general,92.1,92.1
adcropper.com,5582,1112.02,60,general,84.8,84.8
adobe.com,699,887.3,32,general,87.5,69.86
adphosting.eu,1721,504.0,94,general,88.02,88.02
affirmation.org,457,337.85,57,general,83.35,83.35
aftermotionz.com,1040,479.8,84,general,87.09,87.09
agb99bola.today,33706,1283.92,68,high_traffic,76.11,76.11
agentskills.io,2506,889.53,54,general,88.45,88.45
agropolit.com,793,596.6,33,general,88.98,88.98
ainewsfeed.online,1020,429.41,88,general,86.0,86.0
akadns.net,346,529.11,30,general,87.25,79.36
akam.net,213,519.91,28,general,86.97,79.26
akamai.net,347,295.91,46,general,82.23,80.09
akamaiedge.net,206,412.48,36,dns_heavy,84.66,78.43
akvaparks.lv,7898,1126.26,96,general,85.85,85.85
al-emtiaz.net,2030,851.74,78,general,89.4,89.4
algosoft.ru,5716,1077.65,30,general,85.25,85.25
allincuonline.com,2534,1058.93,69,general,84.86,84.86
allnurseryrhymes.com,876,752.76,66,general,90.99,90.99
aloyoga.co.id,14494,976.22,373,general,92.86,92.86
altimages.com,253,303.55,36,general,82.25,82.25
alzaytouna.net,897,578.38,45,general,88.76,88.76
amazon.com,6072,1100.07,131,general,86.13,78.96
amazonaws.com,3140,1188.56,38,general,81.83,72.29
ambassadorbet.rs,2399,891.14,23,general,88.0,88.0
anglehealth.com,1877,688.1,121,general,92.53,92.53
animecity.ge,1129,708.36,77,general,92.14,92.14
apadivisions.org,11887,1236.3,87,general,84.9,84.9
apifox.cn,4910,1190.02,28,general,82.39,82.39
apkmara.com,603,532.31,70,general,87.91,87.91
apnic.foundation,885,978.12,27,general,85.49,85.49
appcpi.net,264,498.77,33,general,86.58,86.58
apple-dns.net,205,424.04,34,dns_heavy,84.89,78.51
apple.com,2239,1166.79,24,general,81.78,79.58
appsflyersdk.com,257,355.73,32,general,83.36,77.96
apsny.ge,3345,730.74,166,general,93.7,93.7
araduser.com,36105,1290.33,37,high_traffic,74.62,74.62
arcadexhall.us,7175,975.71,117,general,89.18,89.18
archos.com,10769,1104.77,105,general,87.6,87.6
arcturusrx.com,9971,981.97,192,general,91.08,91.08
arroweyesolutions.com,993,689.35,59,general,91.45,91.45
as-infra.de,9664,1156.9,72,general,85.59,85.59
asanhamayesh.ir,33023,1290.4,75,high_traffic,76.32,76.32
ashishkin.ru,1788,712.59,46,general,92.02,92.02
ashuprintportal.in,7411,1128.93,69,general,85.27,85.27
asi-inter.net,21475,1284.44,57,general,80.91,80.91
asirt.org,20924,1208.32,162,general,84.11,84.11
asrmicro.com,469,334.1,57,general,83.27,83.27
astutegroup.com,11723,1095.36,217,general,89.56,89.56
audi.se,11103,1093.15,207,general,89.24,89.24
aunoa.ai,3778,686.38,177,general,93.94,93.94
aunoir.shop,706,517.52,57,general,87.47,87.47
aussui.com,1693,509.0,81,general,87.97,87.97
automattic.com,5977,944.96,190,general,90.27,90.27
autono.net,10601,1235.99,82,general,84.32,84.32
av69.pro,27651,1248.68,105,general,79.79,79.79
axa.at,566,312.45,52,general,82.77,82.77
axisemr.com,10998,1098.97,51,general,87.17,87.17
axite.app,12068,1265.4,48,general,83.85,83.85
azleks.az,780,528.49,78,general,88.0,88.0
azure.com,3653,1110.74,44,general,83.85,78.14
b-online.gr,459,315.65,51,general,82.78,82.78
babyfresh.co,33661,1240.03,268,high_traffic,79.54,79.54
babykids.fr,1075,618.93,60,general,89.92,89.92
baidu.com,1801,782.84,69,general,90.73,80.61
baleaf.com,12029,1178.28,183,general,87.42,87.42
baltimorechronicle.com,3092,942.73,75,general,87.76,87.76
bank11.de,11329,1063.8,75,general,88.38,88.38
banqup.com,2493,775.27,89,general,91.43,91.43
basspro.com,7938,1223.56,51,general,83.15,83.15
batman138oy.com,183,243.14,38,dns_heavy,80.89,80.89
bawue.com,190,280.2,48,dns_heavy,81.84,81.84
be-salt.com,5185,1139.57,57,general,83.98,83.98
beat3put.com,198,303.58,48,dns_heavy,82.37,82.37
beef-casino2.com,10786,1137.16,39,general,86.08,86.08
bellolupo.de,355,188.83,25,general,79.59,79.59
bemo-cuan-org.site,35163,1282.39,63,high_traffic,75.49,75.49
bench731.work,8064,907.06,81,general,90.64,90.64
benefactory.ru,1036,577.75,36,general,88.69,88.69
benkow.cc,43091,1265.41,45,high_traffic,72.45,72.45
beqq.net,12181,1009.11,321,general,92.61,92.61
berg.com,12888,1081.25,195,general,90.08,90.08
bestshopping.com,2218,627.33,33,general,90.24,90.24
bet559.net,5616,946.09,138,general,89.47,89.47
betplay394.com,917,645.86,54,general,90.38,90.38
